Downloaded from SuperMag. SMR is renamed to dst_sm. Added msc column so making SmrHourly can work.
year	month	day	hour	min	sec msc	dst_sm
2024	05	10	15	22	0  0	34.3
2024	05	10	15	23	0  0	35.0
2024	05	10	15	24	0  0	34.7
2024	05	10	15	25	0  0	34.5
2024	05	10	15	26	0  0	33.9
2024	05	10	15	27	0  0	32.3
2024	05	10	15	28	0  0	30.2
2024	05	10	15	29	0  0	29.3
2024	05	10	15	30	0  0	28.0
2024	05	10	15	31	0  0	27.6
2024	05	10	15	32	0  0	29.3
2024	05	10	15	33	0  0	33.6
2024	05	10	15	34	0  0	34.7
2024	05	10	15	35	0  0	35.1
2024	05	10	15	36	0  0	33.7
2024	05	10	15	37	0  0	32.9
2024	05	10	15	38	0  0	33.2
2024	05	10	15	39	0  0	33.2
2024	05	10	15	40	0  0	33.7
2024	05	10	15	41	0  0	34.6
2024	05	10	15	42	0  0	35.5
2024	05	10	15	43	0  0	36.3
2024	05	10	15	44	0  0	37.4
2024	05	10	15	45	0  0	38.0
2024	05	10	15	46	0  0	38.0
2024	05	10	15	47	0  0	37.8
2024	05	10	15	48	0  0	37.4
2024	05	10	15	49	0  0	37.4
2024	05	10	15	50	0  0	37.5
2024	05	10	15	51	0  0	37.8
2024	05	10	15	52	0  0	38.3
2024	05	10	15	53	0  0	39.4
2024	05	10	15	54	0  0	39.4
2024	05	10	15	55	0  0	38.6
2024	05	10	15	56	0  0	38.5
2024	05	10	15	57	0  0	39.3
2024	05	10	15	58	0  0	40.3
2024	05	10	15	59	0  0	40.7
2024	05	10	16	00	0  0	39.5
2024	05	10	16	01	0  0	38.2
2024	05	10	16	02	0  0	37.6
2024	05	10	16	03	0  0	38.0
2024	05	10	16	04	0  0	38.7
2024	05	10	16	05	0  0	39.1
2024	05	10	16	06	0  0	38.4
2024	05	10	16	07	0  0	37.8
2024	05	10	16	08	0  0	37.4
2024	05	10	16	09	0  0	36.3
2024	05	10	16	10	0  0	35.4
2024	05	10	16	11	0  0	35.2
2024	05	10	16	12	0  0	36.1
2024	05	10	16	13	0  0	36.1
2024	05	10	16	14	0  0	35.5
2024	05	10	16	15	0  0	34.4
2024	05	10	16	16	0  0	33.6
2024	05	10	16	17	0  0	32.7
2024	05	10	16	18	0  0	31.6
2024	05	10	16	19	0  0	31.8
2024	05	10	16	20	0  0	31.3
2024	05	10	16	21	0  0	31.3
2024	05	10	16	22	0  0	31.8
2024	05	10	16	23	0  0	31.9
2024	05	10	16	24	0  0	31.0
2024	05	10	16	25	0  0	30.1
2024	05	10	16	26	0  0	30.3
2024	05	10	16	27	0  0	30.7
2024	05	10	16	28	0  0	31.2
2024	05	10	16	29	0  0	30.7
2024	05	10	16	30	0  0	30.3
2024	05	10	16	31	0  0	30.4
2024	05	10	16	32	0  0	31.0
2024	05	10	16	33	0  0	32.5
2024	05	10	16	34	0  0	34.1
2024	05	10	16	35	0  0	35.4
2024	05	10	16	36	0  0	36.1
2024	05	10	16	37	0  0	35.9
2024	05	10	16	38	0  0	36.3
2024	05	10	16	39	0  0	36.8
2024	05	10	16	40	0  0	37.9
2024	05	10	16	41	0  0	39.1
2024	05	10	16	42	0  0	40.5
2024	05	10	16	43	0  0	42.9
2024	05	10	16	44	0  0	44.6
2024	05	10	16	45	0  0	45.6
2024	05	10	16	46	0  0	46.0
2024	05	10	16	47	0  0	46.6
2024	05	10	16	48	0  0	45.4
2024	05	10	16	49	0  0	42.1
2024	05	10	16	50	0  0	38.6
2024	05	10	16	51	0  0	36.4
2024	05	10	16	52	0  0	36.3
2024	05	10	16	53	0  0	37.7
2024	05	10	16	54	0  0	40.3
2024	05	10	16	55	0  0	42.5
2024	05	10	16	56	0  0	43.6
2024	05	10	16	57	0  0	42.6
2024	05	10	16	58	0  0	42.1
2024	05	10	16	59	0  0	40.3
2024	05	10	17	00	0  0	38.0
2024	05	10	17	01	0  0	36.1
2024	05	10	17	02	0  0	34.9
2024	05	10	17	03	0  0	34.0
2024	05	10	17	04	0  0	33.6
2024	05	10	17	05	0  0	32.9
2024	05	10	17	06	0  0	45.7
2024	05	10	17	07	0  0	116.6
2024	05	10	17	08	0  0	138.1
2024	05	10	17	09	0  0	126.7
2024	05	10	17	10	0  0	126.1
2024	05	10	17	11	0  0	136.3
2024	05	10	17	12	0  0	138.3
2024	05	10	17	13	0  0	134.3
2024	05	10	17	14	0  0	129.9
2024	05	10	17	15	0  0	137.8
2024	05	10	17	16	0  0	150.1
2024	05	10	17	17	0  0	128.3
2024	05	10	17	18	0  0	130.3
2024	05	10	17	19	0  0	130.6
2024	05	10	17	20	0  0	136.1
2024	05	10	17	21	0  0	147.8
2024	05	10	17	22	0  0	154.7
2024	05	10	17	23	0  0	150.2
2024	05	10	17	24	0  0	144.6
2024	05	10	17	25	0  0	143.1
2024	05	10	17	26	0  0	145.3
2024	05	10	17	27	0  0	148.7
2024	05	10	17	28	0  0	145.9
2024	05	10	17	29	0  0	147.8
