Downloaded from SuperMag. SMR is renamed to dst_sm. All indexes are in nT.
year	month	day	hour	min	sec	SME	SML	SMU	dst_sm
2024	05	10	07	52	00	375	-222	152	24.7
2024	05	10	07	53	00	362	-216	146	24.3
2024	05	10	07	54	00	343	-212	131	24.1
2024	05	10	07	55	00	340	-211	129	23.8
2024	05	10	07	56	00	325	-203	122	23.5
2024	05	10	07	57	00	305	-195	109	23.6
2024	05	10	07	58	00	311	-208	103	23.2
2024	05	10	07	59	00	371	-260	111	23.0
2024	05	10	08	00	00	355	-243	112	22.9
2024	05	10	08	01	00	342	-236	106	22.5
2024	05	10	08	02	00	325	-220	104	23.2
2024	05	10	08	03	00	348	-241	107	23.2
2024	05	10	08	04	00	320	-217	103	23.0
2024	05	10	08	05	00	313	-222	90	23.3
2024	05	10	08	06	00	301	-207	94	23.7
2024	05	10	08	07	00	282	-191	91	23.8
2024	05	10	08	08	00	298	-200	98	23.1
2024	05	10	08	09	00	262	-165	96	22.9
2024	05	10	08	10	00	290	-190	99	22.9
2024	05	10	08	11	00	267	-178	89	22.8
2024	05	10	08	12	00	285	-200	85	23.0
2024	05	10	08	13	00	300	-216	84	23.1
2024	05	10	08	14	00	326	-235	92	23.1
2024	05	10	08	15	00	355	-275	80	23.0
2024	05	10	08	16	00	404	-314	90	23.2
2024	05	10	08	17	00	416	-334	82	23.3
2024	05	10	08	18	00	463	-380	83	23.7
2024	05	10	08	19	00	471	-382	89	23.8
2024	05	10	08	20	00	471	-382	89	24.1
2024	05	10	08	21	00	436	-356	80	24.0
2024	05	10	08	22	00	408	-321	87	24.4
2024	05	10	08	23	00	406	-315	91	24.4
2024	05	10	08	24	00	380	-281	99	24.0
2024	05	10	08	25	00	392	-288	105	24.0
2024	05	10	08	26	00	364	-274	89	23.7
2024	05	10	08	27	00	356	-283	73	23.9
2024	05	10	08	28	00	365	-274	91	23.6
2024	05	10	08	29	00	380	-277	103	23.5
2024	05	10	08	30	00	381	-281	100	23.4
2024	05	10	08	31	00	367	-267	100	23.8
2024	05	10	08	32	00	337	-235	102	23.8
2024	05	10	08	33	00	313	-203	110	24.0
2024	05	10	08	34	00	297	-203	94	24.3
2024	05	10	08	35	00	292	-199	94	24.8
2024	05	10	08	36	00	270	-186	84	25.1
2024	05	10	08	37	00	259	-182	77	25.1
2024	05	10	08	38	00	253	-179	74	25.0
