DSCOVR

#COORDINATES
GSM

year mo dy hr mn sc msc Bx By Bz Ux Uy Uz Rho T F107
#START
2024  5 10 11 24  8 587   -1.83   -2.25   -3.23  -439.5     0.6    -0.4     3.21  158925.0  233.5
2024  5 10 11 25  8 587   -1.74   -2.09   -3.44  -439.5     0.6    -0.3     2.95  148420.0  233.5
2024  5 10 11 25 23 141   -2.20   -1.93   -3.25  -455.7     0.6    -0.4     6.33  360188.0  233.5
2024  5 10 11 27 36  75   -1.96   -2.23   -3.17  -444.3     0.6    -0.4     3.31  188590.0  233.5
2024  5 10 11 28 10 707   -2.18   -2.37   -2.98  -448.2     0.6    -0.4     4.91  274575.0  233.5
2024  5 10 11 30 23 421   -2.03   -2.50   -2.97  -437.2     0.6    -0.4     3.09  161229.0  233.5
2024  5 10 11 31  8 773   -2.01   -2.27   -3.07  -448.6     0.6    -0.4     4.76  270809.0  233.5
2024  5 10 11 31 27 514   -2.06   -2.22   -2.94  -455.1     0.6    -0.4     5.39  371693.0  233.5
2024  5 10 11 32 11 339   -2.15   -2.25   -2.86  -457.7     0.6    -0.4     6.68  383802.0  233.5
2024  5 10 11 34 26 918   -1.91   -2.49   -2.90  -445.7     0.6    -0.4     3.83  253750.0  233.5
2024  5 10 11 35 43 311   -2.04   -3.00   -2.43  -443.2     0.6    -0.4     4.43  220686.0  233.5
2024  5 10 11 37 37 720   -1.98   -2.86   -2.21  -435.2     0.6    -0.4     3.49  155387.0  233.5
2024  5 10 11 38 51 468   -1.53   -2.14   -2.76  -433.2     0.6    -0.4     4.13  143503.0  233.5
2024  5 10 11 39 48  19   -1.53   -1.95   -2.98  -433.7     0.6    -0.4     4.07  147962.0  233.5
2024  5 10 11 40 38 404   -1.87   -2.06   -3.06  -435.1     0.6    -0.4     3.45  151184.0  233.5
2024  5 10 11 41 39  89   -2.14   -1.60   -3.31  -435.0     0.6    -0.4     3.53  154802.0  233.5
2024  5 10 11 42 40 460   -2.16   -1.46   -3.51  -434.7     0.6    -0.4     3.84  139732.0  233.5
2024  5 10 11 43 38 404   -2.27   -1.22   -3.57  -435.1     0.6    -0.4     3.73  148724.0  233.5
2024  5 10 11 44 37 720   -2.27   -1.18   -3.49  -435.2     0.6    -0.4     3.44  152556.0  233.5
2024  5 10 11 45 34 303   -2.33   -0.67   -3.34  -435.7     0.6    -0.4     3.51  161304.0  233.5
2024  5 10 11 46 42 517   -2.30   -0.47   -3.11  -434.5     0.6    -0.4     3.77  153166.0  233.5
2024  5 10 11 47 39  89   -2.46   -0.77   -3.07  -435.0     0.6    -0.4     3.62  157875.0  233.5
2024  5 10 11 48 43 204   -2.33   -0.89   -3.13  -434.3     0.6    -0.4     3.67  150667.0  233.5
2024  5 10 11 49 35 669   -2.32   -0.73   -3.22  -435.5     0.6    -0.4     3.56  157710.0  233.5
2024  5 10 11 50 42 517   -2.48   -0.43   -3.08  -434.5     0.6    -0.4     3.55  156531.0  233.5
2024  5 10 11 51 49 397   -2.37   -0.59   -3.13  -433.5     0.6    -0.4     3.63  157590.0  233.5
2024  5 10 11 52 50 777   -2.21   -1.10   -3.18  -433.2     0.6    -0.4     3.60  163313.0  233.5
2024  5 10 11 53 44 578   -1.86   -2.38   -2.76  -434.2     0.6    -0.4     3.53  154372.0  233.5
2024  5 10 11 54 45 266   -1.40   -2.56   -2.77  -434.1     0.6    -0.4     3.90  142016.0  233.5
2024  5 10 11 55 49 397   -1.19   -3.06   -2.22  -433.5     0.6    -0.4     4.12  140975.0  233.5
2024  5 10 11 56 15  55   -2.50   -1.43   -3.11  -457.1     0.6    -0.4     7.03  387006.0  233.5
2024  5 10 11 59 26 813   -2.01   -2.26   -3.00  -436.7     0.6    -0.4     3.18  160601.0  233.5
2024  5 10 12  0 34 986   -1.95   -2.46   -2.99  -435.6     0.6    -0.4     3.31  160293.0  233.5
2024  5 10 12  1 13 290   -2.18   -1.37   -3.50  -438.7     0.6    -0.4     4.35  208756.0  233.5
2024  5 10 12  1 19 403   -2.40   -0.90   -3.52  -456.3     0.7    -0.4     6.75  384245.0  233.5
2024  5 10 12  2 12 577   -2.34   -0.46   -3.55  -457.5     0.6    -0.4     6.91  387554.0  233.5
2024  5 10 12  3 14 435   -2.38   -1.19   -3.39  -457.2     0.6    -0.4     6.67  385809.0  233.5
2024  5 10 12  4  8 867   -2.46   -0.99   -3.44  -458.1     0.7    -0.4     6.79  387807.0  233.5
2024  5 10 12  5 43 243   -2.37   -1.26   -3.46  -452.6     0.6    -0.4     5.85  340483.0  233.5
2024  5 10 12  6  9 484   -2.42   -1.28   -3.39  -458.0     0.6    -0.4     6.80  389510.0  233.5
2024  5 10 12  7 12 577   -2.24   -1.21   -3.44  -457.5     0.6    -0.4     6.77  388204.0  233.5
2024  5 10 12  9 19 763   -2.19   -1.09   -3.50  -446.8     0.6    -0.4     4.96  276345.0  233.5
