Sym-H and AL  obtained from Kyoto WDC for SWPC Event 7.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
1998 07 07 06 43 00 000  -18.00   -18.00
1998 07 07 06 44 00 000  -18.00   -19.00
1998 07 07 06 45 00 000  -18.00   -20.00
1998 07 07 06 46 00 000  -18.00   -19.00
1998 07 07 06 47 00 000  -18.00   -24.00
1998 07 07 06 48 00 000  -17.00   -23.00
1998 07 07 06 49 00 000  -17.00   -24.00
1998 07 07 06 50 00 000  -16.00   -20.00
1998 07 07 06 51 00 000  -17.00   -17.00
1998 07 07 06 52 00 000  -17.00   -18.00
1998 07 07 06 53 00 000  -18.00   -24.00
1998 07 07 06 54 00 000  -19.00   -20.00
1998 07 07 06 55 00 000  -19.00   -17.00
1998 07 07 06 56 00 000  -19.00   -22.00
1998 07 07 06 57 00 000  -19.00   -24.00
1998 07 07 06 58 00 000  -19.00   -22.00
1998 07 07 06 59 00 000  -18.00   -20.00
1998 07 07 07 00 00 000  -18.00   -27.00
1998 07 07 07 01 00 000  -19.00   -21.00
1998 07 07 07 02 00 000  -19.00   -19.00
1998 07 07 07 03 00 000  -19.00   -22.00
1998 07 07 07 04 00 000  -19.00   -22.00
1998 07 07 07 05 00 000  -19.00   -22.00
1998 07 07 07 06 00 000  -19.00   -22.00
1998 07 07 07 07 00 000  -18.00   -23.00
1998 07 07 07 08 00 000  -18.00   -24.00
1998 07 07 07 09 00 000  -18.00   -23.00
1998 07 07 07 10 00 000  -18.00   -22.00
1998 07 07 07 11 00 000  -18.00   -22.00
1998 07 07 07 12 00 000  -18.00   -21.00
1998 07 07 07 13 00 000  -18.00   -21.00
1998 07 07 07 14 00 000  -19.00   -30.00
1998 07 07 07 15 00 000  -18.00   -33.00
1998 07 07 07 16 00 000  -19.00   -22.00
1998 07 07 07 17 00 000  -19.00   -24.00
1998 07 07 07 18 00 000  -20.00   -22.00
1998 07 07 07 19 00 000  -20.00   -22.00
1998 07 07 07 20 00 000  -20.00   -20.00
1998 07 07 07 21 00 000  -20.00   -22.00
1998 07 07 07 22 00 000  -20.00   -23.00
1998 07 07 07 23 00 000  -20.00   -24.00
1998 07 07 07 24 00 000  -18.00   -22.00
