Sym-H and AL  obtained from Kyoto WDC for SWPC Event 10.  Units in nT.
year mo dy hr mn sc msc dst_sm AL
1999 07 02 07 47 00 000  -26.00  -634.00
1999 07 02 07 48 00 000  -26.00  -574.00
1999 07 02 07 49 00 000  -27.00  -541.00
1999 07 02 07 50 00 000  -27.00  -560.00
1999 07 02 07 51 00 000  -28.00  -523.00
1999 07 02 07 52 00 000  -28.00  -476.00
1999 07 02 07 53 00 000  -28.00  -448.00
1999 07 02 07 54 00 000  -29.00  -428.00
1999 07 02 07 55 00 000  -29.00  -410.00
1999 07 02 07 56 00 000  -28.00  -420.00
1999 07 02 07 57 00 000  -27.00  -441.00
1999 07 02 07 58 00 000  -27.00  -442.00
1999 07 02 07 59 00 000  -27.00  -431.00
1999 07 02 08 00 00 000  -27.00  -400.00
1999 07 02 08 01 00 000  -28.00  -380.00
1999 07 02 08 02 00 000  -28.00  -359.00
1999 07 02 08 03 00 000  -27.00  -341.00
1999 07 02 08 04 00 000  -26.00  -357.00
1999 07 02 08 05 00 000  -27.00  -352.00
1999 07 02 08 06 00 000  -28.00  -320.00
1999 07 02 08 07 00 000  -28.00  -291.00
1999 07 02 08 08 00 000  -26.00  -267.00
1999 07 02 08 09 00 000  -26.00  -291.00
1999 07 02 08 10 00 000  -27.00  -275.00
1999 07 02 08 11 00 000  -27.00  -276.00
1999 07 02 08 12 00 000  -26.00  -249.00
1999 07 02 08 13 00 000  -24.00  -239.00
1999 07 02 08 14 00 000  -23.00  -203.00
1999 07 02 08 15 00 000  -22.00  -220.00
1999 07 02 08 16 00 000  -22.00  -257.00
1999 07 02 08 17 00 000  -23.00  -262.00
1999 07 02 08 18 00 000  -23.00  -228.00
1999 07 02 08 19 00 000  -22.00  -161.00
1999 07 02 08 20 00 000  -21.00  -142.00
1999 07 02 08 21 00 000  -19.00  -237.00
1999 07 02 08 22 00 000  -18.00  -231.00
1999 07 02 08 23 00 000  -15.00  -237.00
1999 07 02 08 24 00 000  -10.00  -177.00
1999 07 02 08 25 00 000  -10.00  -118.00
1999 07 02 08 26 00 000  -12.00  -155.00
1999 07 02 08 27 00 000  -14.00  -190.00
1999 07 02 08 28 00 000  -14.00  -155.00
1999 07 02 08 29 00 000  -14.00  -119.00
1999 07 02 08 30 00 000  -14.00  -115.00
1999 07 02 08 31 00 000  -15.00  -150.00
1999 07 02 08 32 00 000  -15.00  -166.00
1999 07 02 08 33 00 000  -13.00  -175.00
1999 07 02 08 34 00 000  -11.00  -135.00
1999 07 02 08 35 00 000  -10.00  -120.00
1999 07 02 08 36 00 000  -10.00  -147.00
1999 07 02 08 37 00 000  -10.00  -141.00
1999 07 02 08 38 00 000  -10.00  -140.00
1999 07 02 08 39 00 000  -11.00  -128.00
1999 07 02 08 40 00 000  -10.00   -99.00
1999 07 02 08 41 00 000  -10.00   -99.00
1999 07 02 08 42 00 000  -11.00  -117.00
1999 07 02 08 43 00 000  -13.00  -144.00
1999 07 02 08 44 00 000  -14.00  -127.00
1999 07 02 08 45 00 000  -15.00  -122.00
1999 07 02 08 46 00 000  -15.00  -140.00
1999 07 02 08 47 00 000  -15.00  -136.00
1999 07 02 08 48 00 000  -15.00  -118.00
1999 07 02 08 49 00 000  -15.00  -105.00
1999 07 02 08 50 00 000  -15.00  -118.00
1999 07 02 08 51 00 000  -15.00  -107.00
1999 07 02 08 52 00 000  -15.00   -83.00
1999 07 02 08 53 00 000  -13.00   -81.00
1999 07 02 08 54 00 000  -12.00   -75.00
1999 07 02 08 55 00 000  -13.00   -80.00
1999 07 02 08 56 00 000  -14.00   -77.00
1999 07 02 08 57 00 000  -14.00   -94.00
